,activity_type,altitude,cadence,distance,enhanced_altitude,enhanced_speed,fractional_cadence,heart_rate,position_lat,position_long,speed,stance_time,stance_time_balance,stance_time_percent,step_length,temperature,timestamp,vertical_oscillation,vertical_ratio
0,running,324.4,61,0.0,324.4,0.019,0.5,118,492777680,-1146596527,0.019,499.0,52.34,48.75,0.0,24,2019-01-19 13:30:06,60.5,0.0
0,running,324.4,62,4.2,324.4,0.019,0.0,120,492777240,-1146596668,0.019,490.0,51.56,48.5,482.0,24,2019-01-19 13:30:08,56.5,5.25
0,running,324.6,62,5.62,324.6,0.019,0.5,123,492777100,-1146596751,0.019,478.0,51.43,48.0,471.0,24,2019-01-19 13:30:09,54.5,12.5
0,running,326.20000000000005,73,12.07,326.20000000000005,1.465,0.0,125,492776395,-1146596678,1.465,415.0,51.59,46.75,499.0,24,2019-01-19 13:30:13,44.7,9.25
0,running,326.4,71,15.28,326.4,1.661,0.5,124,492776062,-1146596519,1.661,406.0,51.43,46.5,697.0,24,2019-01-19 13:30:15,42.7,7.9
0,running,325.4,68,21.33,325.4,1.54,0.0,124,492775506,-1146596050,1.54,364.0,50.78,44.0,580.0,24,2019-01-19 13:30:19,76.0,10.43
0,running,324.79999999999995,66,32.31,324.79999999999995,1.642,0.5,125,492774347,-1146595958,1.642,418.0,50.18,50.0,775.0,24,2019-01-19 13:30:26,67.2,9.46
0,running,324.79999999999995,65,33.47,324.79999999999995,1.493,0.5,122,492774226,-1146595995,1.493,437.0,50.09,43.5,738.0,24,2019-01-19 13:30:27,58.5,8.87
0,running,324.6,65,34.47,324.6,1.418,0.5,121,492774111,-1146595978,1.418,437.0,50.09,43.5,738.0,24,2019-01-19 13:30:28,58.5,8.87
0,running,324.4,64,36.81,324.4,1.25,0.0,123,492773875,-1146595862,1.25,452.0,49.43,50.0,563.0,24,2019-01-19 13:30:31,41.7,8.28
0,running,324.0,54,40.75,324.0,1.213,0.5,124,492773454,-1146595836,1.213,469.0,48.96,46.0,537.0,24,2019-01-19 13:30:34,41.7,8.37
0,running,323.79999999999995,54,41.63,323.79999999999995,1.213,0.5,125,492773358,-1146595835,1.213,469.0,48.96,46.0,537.0,23,2019-01-19 13:30:35,41.7,8.37
0,running,323.6,54,42.1,323.6,1.213,0.5,125,492773311,-1146595879,1.213,469.0,0.0,46.0,0.0,23,2019-01-19 13:30:36,41.7,0.0
0,running,323.4,0,42.88,323.4,0.84,0.0,122,492773244,-1146595946,0.84,0.0,0.0,0.0,0.0,23,2019-01-19 13:30:38,0.0,0.0
0,running,323.4,48,47.18,323.4,0.616,0.5,119,492772732,-1146595680,0.616,429.0,48.28,34.0,730.0,23,2019-01-19 13:30:43,96.5,13.15
0,running,323.4,60,51.83,323.4,0.718,0.0,124,492772261,-1146595427,0.718,423.0,48.28,46.75,591.0,23,2019-01-19 13:30:45,73.0,9.75
0,running,323.4,70,55.96,323.4,1.941,0.0,127,492771832,-1146595269,1.941,420.0,47.71,50.0,1153.0,23,2019-01-19 13:30:47,47.7,7.68
0,running,323.79999999999995,77,62.03,323.79999999999995,1.484,0.0,128,492771170,-1146595407,1.484,405.0,49.28,47.25,561.0,23,2019-01-19 13:30:52,42.7,5.93
0,running,323.79999999999995,56,65.89,323.79999999999995,1.493,0.5,125,492770774,-1146595258,1.493,398.0,49.5,42.5,713.0,23,2019-01-19 13:30:55,63.2,8.78
0,running,323.79999999999995,66,66.81,323.79999999999995,1.493,0.5,126,492770680,-1146595200,1.493,396.0,49.34,50.0,598.0,23,2019-01-19 13:30:56,64.2,8.59
0,running,323.6,82,85.87,323.6,1.381,0.0,120,492768664,-1146595458,1.381,380.0,48.37,48.0,450.0,23,2019-01-19 13:31:09,44.7,8.18
0,running,323.20000000000005,80,101.49,323.20000000000005,1.577,0.5,123,492767049,-1146596006,1.577,406.0,49.28,46.5,517.0,23,2019-01-19 13:31:18,50.7,8.18
0,running,322.79999999999995,67,103.94,322.79999999999995,1.344,0.0,125,492766811,-1146596148,1.344,377.0,49.59,44.0,627.0,23,2019-01-19 13:31:21,57.5,9.65
0,running,322.4,81,106.9,322.4,1.344,0.0,126,492766511,-1146596303,1.344,333.0,49.71,43.25,476.0,23,2019-01-19 13:31:23,72.2,13.93
0,running,322.4,79,109.5,322.4,1.652,0.0,127,492766245,-1146596427,1.652,336.0,49.71,50.0,288.0,23,2019-01-19 13:31:25,29.2,14.71
0,running,323.0,63,114.89,323.0,1.605,0.0,131,492765653,-1146596551,1.605,283.0,48.4,23.75,719.0,23,2019-01-19 13:31:29,41.7,6.03
0,running,323.4,78,132.63,323.4,1.885,0.5,132,492763871,-1146597061,1.885,405.0,47.65,49.0,749.0,23,2019-01-19 13:31:39,69.2,6.9
0,running,323.6,78,134.13,323.6,1.689,0.0,132,492763715,-1146597000,1.689,390.0,47.9,50.0,636.0,23,2019-01-19 13:31:40,70.2,8.87
0,running,323.6,83,138.18,323.6,1.633,0.0,130,492763278,-1146596933,1.633,371.0,48.25,46.75,605.0,23,2019-01-19 13:31:43,42.7,7.21
0,running,323.4,71,147.25,323.4,1.717,0.0,127,492762302,-1146596851,1.717,395.0,48.34,47.25,608.0,23,2019-01-19 13:31:48,43.7,7.03
0,running,318.0,65,153.3,318.0,1.652,0.0,128,492761661,-1146596707,1.652,434.0,47.87,48.0,856.0,23,2019-01-19 13:31:52,44.7,5.65
0,running,317.6,65,154.57,317.6,1.614,0.0,128,492761528,-1146596662,1.614,434.0,47.87,48.0,832.0,23,2019-01-19 13:31:53,44.7,5.46
0,running,317.0,0,155.54,317.0,1.465,0.0,128,492761425,-1146596640,1.465,0.0,0.0,0.0,0.0,23,2019-01-19 13:31:55,0.0,0.0
0,running,317.0,0,156.09,317.0,1.204,0.0,125,492761452,-1146596714,1.204,0.0,0.0,0.0,0.0,23,2019-01-19 13:31:56,0.0,0.0
0,running,316.79999999999995,0,156.26,316.79999999999995,1.138,0.0,122,492761453,-1146596685,1.138,0.0,0.0,0.0,0.0,23,2019-01-19 13:31:57,0.0,0.0
0,running,316.79999999999995,67,160.88,316.79999999999995,1.101,0.0,125,492760953,-1146596611,1.101,389.0,50.15,45.25,471.0,23,2019-01-19 13:32:01,46.7,5.46
0,running,316.6,71,161.88,316.6,1.428,0.0,128,492761104,-1146596159,1.428,379.0,49.96,45.0,719.0,23,2019-01-19 13:32:03,33.0,5.15
0,running,317.6,61,194.27,317.6,1.736,0.0,132,492757948,-1146597477,1.736,486.0,49.43,50.0,895.0,22,2019-01-19 13:32:23,52.5,6.12
0,running,318.0,60,200.5,318.0,1.633,0.0,133,492757746,-1146598313,1.633,500.0,49.15,49.25,739.0,22,2019-01-19 13:32:27,49.7,5.93
0,running,318.4,57,203.42,318.4,1.586,0.5,133,492757691,-1146598728,1.586,542.0,48.78,50.0,799.0,22,2019-01-19 13:32:29,50.7,6.03
0,running,318.79999999999995,66,207.59,318.79999999999995,1.446,0.5,133,492757650,-1146599315,1.446,449.0,48.78,50.0,618.0,22,2019-01-19 13:32:32,53.5,7.5
0,running,318.20000000000005,70,220.89,318.20000000000005,1.577,0.0,130,492756715,-1146600552,1.577,414.0,47.81,50.0,676.0,22,2019-01-19 13:32:40,54.5,7.81
0,running,317.6,75,228.02,317.6,1.624,0.5,129,492755971,-1146600808,1.624,400.0,48.0,50.0,674.0,22,2019-01-19 13:32:45,54.5,8.18
0,running,318.4,60,256.51,318.4,1.857,0.5,127,492753504,-1146602651,1.857,479.0,49.03,48.5,1327.0,22,2019-01-19 13:33:00,58.5,6.12
0,running,318.79999999999995,66,260.78,318.79999999999995,1.549,0.5,130,492753363,-1146603218,1.549,456.0,49.56,50.0,729.0,22,2019-01-19 13:33:04,44.7,5.25
0,running,319.79999999999995,81,271.25,319.79999999999995,1.54,0.5,133,492753033,-1146604622,1.54,312.0,49.65,46.0,582.0,22,2019-01-19 13:33:11,65.2,10.62
0,running,320.4,62,299.52,320.4,1.418,0.5,130,492751812,-1146608273,1.418,479.0,49.37,50.0,664.0,22,2019-01-19 13:33:32,60.5,9.93
0,running,320.4,61,316.69,320.4,1.614,0.0,131,492752067,-1146610468,1.614,494.0,49.59,50.0,1006.0,21,2019-01-19 13:33:42,38.0,6.71
0,running,320.79999999999995,57,322.41,320.79999999999995,1.68,0.0,131,492751514,-1146610825,1.68,518.0,49.15,49.0,980.0,21,2019-01-19 13:33:45,51.7,5.15
0,running,321.79999999999995,47,340.04,321.79999999999995,1.708,0.5,133,492749885,-1146612069,1.708,486.0,48.9,45.75,1249.0,21,2019-01-19 13:33:55,55.5,5.65
0,running,322.4,60,349.65,322.4,1.549,0.0,130,492749053,-1146612871,1.549,485.0,49.5,45.75,844.0,21,2019-01-19 13:34:01,58.5,6.12
0,running,322.20000000000005,62,364.81,322.20000000000005,1.661,0.0,130,492748037,-1146614454,1.661,480.0,49.59,50.0,827.0,21,2019-01-19 13:34:10,53.5,6.12
0,running,323.6,62,405.36,323.6,1.726,0.0,131,492746538,-1146619625,1.726,482.0,49.59,50.0,1019.0,21,2019-01-19 13:34:32,59.5,6.03
0,running,324.0,60,408.02,324.0,1.717,0.0,132,492746726,-1146619914,1.717,486.0,49.84,48.75,998.0,21,2019-01-19 13:34:34,64.2,6.12
0,running,324.20000000000005,59,422.16,324.20000000000005,1.568,0.0,129,492748099,-1146620731,1.568,491.0,50.34,49.0,747.0,21,2019-01-19 13:34:44,69.2,7.9
0,running,324.20000000000005,67,426.58,324.20000000000005,1.54,0.5,129,492748495,-1146621110,1.54,443.0,49.96,50.0,700.0,21,2019-01-19 13:34:47,52.5,8.18
0,running,325.0,71,461.0,325.0,1.446,0.0,129,492749003,-1146625865,1.446,445.0,49.65,50.0,588.0,20,2019-01-19 13:35:11,50.7,7.68
0,running,324.6,70,483.32,324.6,1.586,0.0,126,492747979,-1146627940,1.586,473.0,49.5,49.25,719.0,20,2019-01-19 13:35:25,31.2,5.06
0,running,324.6,66,485.07,324.6,1.577,0.5,126,492748138,-1146628076,1.577,471.0,49.15,49.0,683.0,20,2019-01-19 13:35:26,50.7,5.75
0,running,325.20000000000005,60,495.86,325.20000000000005,1.493,0.0,127,492749213,-1146628638,1.493,481.0,49.06,48.25,772.0,20,2019-01-19 13:35:33,74.0,7.5
0,running,325.4,60,501.69,325.4,1.586,0.0,130,492749815,-1146628870,1.586,487.0,49.28,48.5,860.0,20,2019-01-19 13:35:36,70.2,8.09
0,running,325.20000000000005,62,536.68,325.20000000000005,1.344,0.5,124,492751088,-1146625181,1.344,528.0,50.46,50.0,637.0,20,2019-01-19 13:36:01,65.2,8.96
0,running,325.20000000000005,65,545.36,325.20000000000005,1.661,0.0,124,492751061,-1146623949,1.661,449.0,53.59,47.0,894.0,20,2019-01-19 13:36:06,41.7,6.43
0,running,325.6,61,593.72,325.6,1.194,0.5,122,492752940,-1146621203,1.194,485.0,49.53,49.0,600.0,19,2019-01-19 13:36:44,65.2,9.37
0,running,325.6,61,594.73,325.6,1.12,0.0,122,492753016,-1146621096,1.12,477.0,49.37,47.25,588.0,19,2019-01-19 13:36:45,51.7,9.15
0,running,325.79999999999995,63,597.59,325.79999999999995,1.101,0.5,124,492753301,-1146620945,1.101,445.0,49.37,46.25,420.0,19,2019-01-19 13:36:47,44.7,9.46
0,running,326.0,72,599.78,326.0,1.12,0.5,126,492753578,-1146621008,1.12,410.0,49.37,46.5,420.0,19,2019-01-19 13:36:49,48.7,9.46
0,running,326.4,85,608.49,326.4,0.905,0.5,126,492753394,-1146622093,0.905,304.0,52.09,42.25,217.0,19,2019-01-19 13:36:57,56.5,23.71
0,running,326.4,86,609.91,326.4,0.905,0.0,125,492753407,-1146622298,0.905,318.0,51.06,45.0,356.0,19,2019-01-19 13:36:58,54.5,15.4
0,running,326.6,83,614.6,326.6,1.353,0.5,128,492753456,-1146622953,1.353,341.0,50.12,48.25,436.0,19,2019-01-19 13:37:01,53.5,13.46
0,running,326.6,62,617.67,326.6,1.446,0.5,131,492753603,-1146623345,1.446,398.0,49.75,48.25,853.0,19,2019-01-19 13:37:03,52.5,9.06
0,running,327.0,58,622.53,327.0,1.241,0.5,130,492753941,-1146623875,1.241,466.0,48.87,46.5,808.0,19,2019-01-19 13:37:07,53.5,8.18
0,running,327.4,104,626.63,327.4,1.148,0.0,128,492754219,-1146624384,1.148,289.0,48.87,50.0,399.0,19,2019-01-19 13:37:10,27.2,7.68
0,running,327.4,68,639.76,327.4,1.577,0.0,127,492754104,-1146626178,1.577,367.0,49.15,47.75,682.0,19,2019-01-19 13:37:19,41.0,8.28
0,running,327.4,63,651.03,327.4,1.381,0.5,128,492754797,-1146627261,1.381,473.0,50.62,48.75,686.0,19,2019-01-19 13:37:28,36.0,5.65
0,running,328.20000000000005,66,654.74,328.20000000000005,0.97,0.5,134,492755299,-1146627362,0.97,481.0,51.12,49.0,407.0,19,2019-01-19 13:37:33,62.5,12.37
0,running,329.6,56,674.1,329.6,1.362,0.5,134,492756700,-1146625275,1.362,500.0,49.4,49.25,851.0,18,2019-01-19 13:37:48,34.0,5.56
0,running,329.79999999999995,77,687.56,329.79999999999995,1.437,0.5,129,492756620,-1146623379,1.437,398.0,48.31,48.0,615.0,18,2019-01-19 13:37:57,55.5,7.59
0,running,329.20000000000005,75,692.32,329.20000000000005,1.502,0.0,132,492756533,-1146622710,1.502,377.0,48.31,46.25,647.0,18,2019-01-19 13:38:00,55.5,8.37
0,running,328.79999999999995,74,695.52,328.79999999999995,1.596,0.5,129,492756538,-1146622255,1.596,382.0,48.59,46.75,663.0,18,2019-01-19 13:38:02,50.7,6.81
0,running,328.6,65,699.92,328.6,1.596,0.0,126,492756582,-1146621629,1.596,414.0,48.68,46.5,744.0,18,2019-01-19 13:38:05,39.0,5.93
0,running,329.6,57,766.44,329.6,1.474,0.5,130,492761045,-1146618605,1.474,490.0,49.53,50.0,701.0,18,2019-01-19 13:38:47,66.2,8.18
0,running,332.0,60,787.64,332.0,1.437,0.0,133,492762839,-1146619420,1.437,496.0,48.59,48.5,724.0,18,2019-01-19 13:39:01,64.2,8.28
0,running,333.6,60,824.42,333.6,1.362,0.0,128,492764143,-1146619359,1.362,502.0,48.56,49.25,797.0,17,2019-01-19 13:39:27,68.2,8.59
0,running,336.4,57,847.65,336.4,1.306,0.0,134,492764357,-1146622608,1.306,519.0,48.65,50.0,730.0,17,2019-01-19 13:39:46,60.5,8.37
0,running,336.79999999999995,52,862.62,336.79999999999995,1.409,0.5,133,492764116,-1146624660,1.409,523.0,49.12,48.25,835.0,17,2019-01-19 13:39:56,54.5,6.9
0,running,336.4,60,891.42,336.4,1.344,0.0,125,492763923,-1146628134,1.344,499.0,50.53,49.5,659.0,17,2019-01-19 13:40:16,43.7,6.53
0,running,337.4,39,900.13,337.4,1.232,0.5,128,492764862,-1146628163,1.232,402.0,50.21,31.0,751.0,17,2019-01-19 13:40:22,131.7,8.78
0,running,337.6,52,902.54,337.6,1.204,0.0,130,492765077,-1146627943,1.204,475.0,50.53,42.5,590.0,17,2019-01-19 13:40:24,44.7,8.09
