,activity_type,altitude,cadence,distance,enhanced_altitude,enhanced_speed,fractional_cadence,heart_rate,position_lat,position_long,speed,stance_time,stance_time_balance,stance_time_percent,step_length,temperature,timestamp,vertical_oscillation,vertical_ratio
0,running,340.4,80,26.89,340.4,1.232,0.5,99,492377012,-1145963232,1.232,273.0,48.5,47.75,321.0,29,2019-01-10 11:51:00,65.2,12.37
0,running,340.20000000000005,86,29.12,340.20000000000005,1.25,0.0,102,492377246,-1145963166,1.25,300.0,49.37,43.75,364.0,29,2019-01-10 11:51:01,66.2,17.75
0,running,340.20000000000005,85,31.35,340.20000000000005,1.446,0.5,105,492377484,-1145963126,1.446,294.0,49.37,41.75,390.0,29,2019-01-10 11:51:02,66.2,16.87
0,running,340.0,85,33.56,340.0,1.764,0.5,108,492377721,-1145963102,1.764,296.0,49.46,42.25,599.0,29,2019-01-10 11:51:03,63.2,15.4
0,running,339.79999999999995,62,37.08,339.79999999999995,2.043,0.5,111,492378090,-1145962994,2.043,347.0,49.75,42.75,1106.0,29,2019-01-10 11:51:05,62.5,6.53
0,running,339.79999999999995,57,38.02,339.79999999999995,1.95,0.5,113,492378169,-1145962906,1.95,437.0,49.75,42.25,1138.0,29,2019-01-10 11:51:06,65.2,6.12
0,running,344.4,57,152.91,344.4,0.7,0.5,125,492380974,-1145951016,0.7,521.0,49.09,49.0,375.0,28,2019-01-10 11:52:43,50.7,13.28
0,running,343.79999999999995,58,158.14,343.79999999999995,0.756,0.0,111,492380423,-1145950649,0.756,507.0,48.87,48.75,467.0,27,2019-01-10 11:52:50,51.7,12.18
0,running,343.4,58,159.78,343.4,0.774,0.0,112,492380245,-1145950620,0.774,498.0,49.0,48.0,467.0,27,2019-01-10 11:52:52,46.7,10.71
0,running,342.4,60,169.6,342.4,0.849,0.0,103,492379187,-1145950460,0.849,495.0,49.03,49.0,516.0,27,2019-01-10 11:53:00,35.0,7.4
0,running,342.20000000000005,60,170.95,342.20000000000005,0.849,0.5,97,492379045,-1145950418,0.849,488.0,49.03,50.0,527.0,27,2019-01-10 11:53:01,37.0,7.5
0,running,342.0,51,180.55,342.0,1.017,0.5,102,492378348,-1145949530,1.017,571.0,49.03,50.0,715.0,27,2019-01-10 11:53:08,46.7,6.71
0,running,342.79999999999995,58,217.96,342.79999999999995,1.288,0.0,115,492377755,-1145944418,1.288,517.0,49.87,50.0,625.0,27,2019-01-10 11:53:33,61.5,7.4
0,running,342.20000000000005,76,282.99,342.20000000000005,1.614,0.5,108,492378339,-1145935254,1.614,431.0,48.53,49.0,524.0,26,2019-01-10 11:54:15,53.5,9.37
0,running,342.0,89,284.98,342.0,1.708,0.0,111,492378363,-1145934972,1.708,298.0,48.81,43.75,512.0,26,2019-01-10 11:54:16,60.5,9.93
0,running,341.79999999999995,87,289.83,341.79999999999995,2.025,0.5,115,492378348,-1145934280,2.025,292.0,49.03,42.75,629.0,26,2019-01-10 11:54:18,62.5,9.84
0,running,341.79999999999995,90,295.03,341.79999999999995,2.351,0.5,119,492378327,-1145933540,2.351,282.0,49.21,42.0,670.0,26,2019-01-10 11:54:20,67.2,9.84
0,running,342.0,91,300.35,342.0,2.501,0.0,123,492378214,-1145932800,2.501,276.0,49.34,41.5,831.0,26,2019-01-10 11:54:22,65.2,8.87
0,running,342.20000000000005,90,305.58,342.20000000000005,2.603,0.0,127,492378232,-1145932074,2.603,277.0,49.53,41.5,896.0,26,2019-01-10 11:54:24,66.2,8.09
0,running,342.20000000000005,90,307.6,342.20000000000005,2.631,0.0,130,492378253,-1145931787,2.631,274.0,49.53,41.0,909.0,26,2019-01-10 11:54:25,67.2,7.9
0,running,342.20000000000005,90,309.81,342.20000000000005,2.631,0.5,130,492378303,-1145931478,2.631,273.0,49.65,41.25,917.0,26,2019-01-10 11:54:26,66.2,7.4
0,running,342.0,92,315.6,342.0,2.594,0.0,134,492378446,-1145930677,2.594,270.0,49.84,41.25,916.0,25,2019-01-10 11:54:28,64.2,7.12
0,running,342.0,90,321.58,342.0,2.641,0.5,135,492378420,-1145929826,2.641,269.0,49.84,40.75,899.0,25,2019-01-10 11:54:30,69.2,7.4
0,running,342.20000000000005,89,326.65,342.20000000000005,2.659,0.5,138,492378364,-1145929108,2.659,270.0,50.03,40.5,930.0,25,2019-01-10 11:54:32,72.2,7.59
0,running,343.0,88,334.49,343.0,2.669,0.0,139,492378237,-1145928008,2.669,276.0,50.31,40.75,946.0,25,2019-01-10 11:54:35,73.0,7.4
0,running,344.20000000000005,88,345.59,344.20000000000005,2.659,0.5,141,492378418,-1145926440,2.659,278.0,50.62,41.0,915.0,25,2019-01-10 11:54:39,68.2,7.21
0,running,345.0,88,356.72,345.0,2.669,0.0,144,492378356,-1145924859,2.669,280.0,50.84,41.0,905.0,25,2019-01-10 11:54:43,71.2,7.5
0,running,345.20000000000005,94,372.55,345.20000000000005,2.669,0.5,146,492378303,-1145922611,2.669,269.0,51.03,41.5,831.0,25,2019-01-10 11:54:49,50.7,6.81
0,running,346.4,90,392.51,346.4,2.622,0.5,148,492378042,-1145919805,2.622,280.0,51.03,42.5,857.0,25,2019-01-10 11:54:57,62.5,6.9
0,running,347.0,91,412.61,347.0,2.575,0.5,150,492377936,-1145916959,2.575,264.0,51.03,40.5,832.0,25,2019-01-10 11:55:05,65.2,7.31
0,running,347.6,92,419.18,347.6,2.547,0.0,153,492377879,-1145916027,2.547,260.0,50.93,39.75,824.0,25,2019-01-10 11:55:08,66.2,7.68
0,running,348.4,91,434.05,348.4,2.557,0.0,156,492378109,-1145913931,2.557,254.0,50.93,38.75,849.0,25,2019-01-10 11:55:14,73.0,8.37
0,running,348.20000000000005,87,454.44,348.20000000000005,2.547,0.5,158,492378238,-1145911039,2.547,263.0,51.03,38.5,883.0,25,2019-01-10 11:55:22,84.7,9.46
0,running,347.20000000000005,92,484.14,347.20000000000005,2.585,0.5,157,492377445,-1145906977,2.585,258.0,51.15,39.25,831.0,24,2019-01-10 11:55:31,67.2,8.37
0,running,346.79999999999995,99,488.07,346.79999999999995,2.594,0.0,157,492377200,-1145906496,2.594,254.0,51.25,39.5,819.0,24,2019-01-10 11:55:32,55.5,7.59
0,running,346.6,97,490.99,346.6,2.603,0.0,158,492376964,-1145906180,2.603,255.0,51.25,40.0,824.0,24,2019-01-10 11:55:33,53.5,7.31
0,running,345.20000000000005,90,501.62,345.20000000000005,2.538,0.5,157,492376991,-1145904714,2.538,267.0,51.34,41.25,855.0,24,2019-01-10 11:55:38,61.5,6.71
0,running,344.0,93,508.11,344.0,2.295,0.0,155,492376803,-1145903828,2.295,276.0,51.21,43.25,699.0,24,2019-01-10 11:55:42,51.7,6.81
0,running,343.0,91,520.54,343.0,2.239,0.5,153,492376745,-1145902070,2.239,275.0,50.9,42.0,738.0,24,2019-01-10 11:55:48,62.5,8.09
0,running,342.0,88,527.78,342.0,2.127,0.0,153,492376704,-1145901043,2.127,283.0,50.81,41.75,743.0,24,2019-01-10 11:55:52,62.5,8.18
0,running,340.6,89,536.12,340.6,2.099,0.0,152,492376774,-1145899860,2.099,281.0,50.81,41.75,696.0,24,2019-01-10 11:55:56,63.2,8.78
0,running,339.4,89,541.82,339.4,2.071,0.0,149,492376697,-1145899056,2.071,279.0,50.9,41.5,698.0,24,2019-01-10 11:55:59,62.5,8.68
0,running,338.4,89,545.83,338.4,2.071,0.0,147,492376656,-1145898488,2.071,282.0,50.81,41.75,697.0,24,2019-01-10 11:56:01,62.5,8.78
0,running,337.4,86,551.71,337.4,2.071,0.5,144,492376672,-1145897654,2.071,291.0,50.81,42.25,721.0,24,2019-01-10 11:56:04,62.5,8.59
0,running,337.0,87,562.94,337.0,2.099,0.5,141,492376875,-1145896068,2.099,285.0,50.81,41.25,721.0,24,2019-01-10 11:56:09,69.2,9.25
0,running,336.4,98,567.42,336.4,2.127,0.5,139,492376839,-1145895434,2.127,275.0,50.81,41.0,722.0,24,2019-01-10 11:56:11,55.5,9.06
0,running,335.20000000000005,87,576.66,335.20000000000005,2.202,0.5,138,492376996,-1145894153,2.202,275.0,51.0,40.5,792.0,24,2019-01-10 11:56:15,83.7,9.65
0,running,334.0,94,583.89,334.0,2.267,0.0,136,492376925,-1145893136,2.267,266.0,51.21,39.25,761.0,24,2019-01-10 11:56:18,68.2,9.25
0,running,333.0,92,605.97,333.0,2.398,0.5,136,492376735,-1145890036,2.398,264.0,51.0,41.0,796.0,23,2019-01-10 11:56:27,59.5,7.5
0,running,332.79999999999995,92,608.63,332.79999999999995,2.398,0.0,136,492376749,-1145889657,2.398,266.0,51.0,40.75,789.0,23,2019-01-10 11:56:28,62.5,7.68
0,running,332.0,90,618.88,332.0,2.435,0.0,135,492376573,-1145888231,2.435,255.0,50.9,38.25,815.0,23,2019-01-10 11:56:32,75.0,8.59
0,running,330.6,90,629.07,330.6,2.482,0.5,138,492376457,-1145886813,2.482,250.0,50.9,37.75,834.0,23,2019-01-10 11:56:36,81.0,8.87
0,running,329.4,91,636.01,329.4,2.491,0.0,138,492376466,-1145885831,2.491,250.0,50.71,38.0,836.0,23,2019-01-10 11:56:39,76.0,8.87
0,running,329.4,93,657.39,329.4,2.538,0.5,140,492376345,-1145882795,2.538,249.0,50.53,38.75,828.0,23,2019-01-10 11:56:47,68.2,8.18
0,running,329.0,95,679.36,329.0,2.566,0.0,142,492376436,-1145879680,2.566,241.0,50.62,38.0,797.0,23,2019-01-10 11:56:55,69.2,8.37
0,running,329.0,95,688.97,329.0,2.585,0.0,145,492376500,-1145878309,2.585,238.0,50.71,37.75,825.0,23,2019-01-10 11:56:59,69.2,8.18
