,activity_type,altitude,cadence,distance,enhanced_altitude,enhanced_speed,fractional_cadence,heart_rate,position_lat,position_long,speed,stance_time,stance_time_balance,stance_time_percent,step_length,temperature,timestamp,vertical_oscillation,vertical_ratio
0,running,374.0,55,15.91,374.0,1.278,0.0,117,492795744,-1146116871,1.278,546.0,50.0,50.0,713.0,29,2019-01-23 23:50:20,75.0,8.96
0,running,376.0,57,66.81,376.0,1.381,0.0,115,492800568,-1146120693,1.381,520.0,50.21,50.0,623.0,29,2019-01-23 23:50:58,71.2,11.71
0,running,376.6,58,71.47,376.6,1.269,0.0,116,492800927,-1146121235,1.269,511.0,50.31,50.0,679.0,29,2019-01-23 23:51:02,66.2,10.25
0,running,376.6,57,97.59,376.6,1.213,0.5,114,492803513,-1146122514,1.213,517.0,50.31,49.5,708.0,29,2019-01-23 23:51:19,71.2,10.81
0,running,377.20000000000005,58,111.16,377.20000000000005,1.353,0.0,109,492804976,-1146122276,1.353,510.0,50.31,49.25,977.0,29,2019-01-23 23:51:23,79.0,9.56
0,running,377.4,58,116.95,377.4,1.474,0.5,115,492805582,-1146122084,1.474,504.0,50.21,49.0,947.0,29,2019-01-23 23:51:25,72.2,8.68
0,running,377.4,58,119.54,377.4,2.043,0.5,115,492805847,-1146121969,2.043,505.0,50.21,50.0,983.0,29,2019-01-23 23:51:26,73.0,8.37
0,running,377.20000000000005,57,122.46,377.20000000000005,1.129,0.5,113,492806165,-1146121884,1.129,513.0,50.21,49.0,754.0,29,2019-01-23 23:51:30,73.0,8.09
0,running,381.6,53,145.04,381.6,0.784,0.5,120,492804966,-1146120565,0.784,557.0,50.53,50.0,493.0,29,2019-01-23 23:51:59,79.0,14.93
0,running,380.0,58,183.28,380.0,1.512,0.5,108,492809067,-1146120259,1.512,530.0,51.0,49.25,790.0,28,2019-01-23 23:52:31,36.0,5.93
0,running,379.79999999999995,59,184.49,379.79999999999995,1.502,0.5,105,492809197,-1146120255,1.502,475.0,50.87,46.75,774.0,28,2019-01-23 23:52:32,24.2,5.06
0,running,379.20000000000005,60,190.37,379.20000000000005,1.456,0.0,104,492809829,-1146120269,1.456,466.0,50.53,47.0,721.0,28,2019-01-23 23:52:36,31.2,4.68
