,activity_type,altitude,cadence,distance,enhanced_altitude,enhanced_speed,fractional_cadence,heart_rate,position_lat,position_long,speed,stance_time,stance_time_balance,stance_time_percent,step_length,temperature,timestamp,vertical_oscillation,vertical_ratio
0,running,337.4,59,0.0,337.4,0.0,0.5,112,492776765,-1146595691,0.0,491.0,49.81,47.25,0.0,27,2019-01-06 18:37:43,48.7,0.0
0,running,337.0,58,6.67,337.0,0.019,0.0,115,492775844,-1146595442,0.019,495.0,49.68,48.25,854.0,27,2019-01-06 18:37:50,50.7,2.71
0,running,337.0,66,8.18,337.0,0.037,0.0,115,492775679,-1146595391,0.037,460.0,49.53,50.0,810.0,27,2019-01-06 18:37:51,49.7,3.5
0,running,337.0,66,9.46,337.0,0.065,0.0,111,492775535,-1146595370,0.065,460.0,48.96,50.0,920.0,27,2019-01-06 18:37:52,49.7,3.9
0,running,336.79999999999995,66,10.72,336.79999999999995,1.325,0.5,108,492775397,-1146595343,1.325,448.0,48.96,45.5,920.0,27,2019-01-06 18:37:53,28.2,3.9
0,running,336.79999999999995,67,12.05,336.79999999999995,1.4,0.5,107,492775253,-1146595296,1.4,452.0,48.43,50.0,795.0,27,2019-01-06 18:37:54,28.2,3.59
0,running,336.4,58,19.26,336.4,1.446,0.0,112,492774505,-1146595503,1.446,495.0,49.0,47.5,732.0,27,2019-01-06 18:37:59,47.7,5.15
0,running,336.4,58,21.0,336.4,1.446,0.0,113,492774319,-1146595550,1.446,495.0,48.9,47.5,727.0,27,2019-01-06 18:38:00,47.7,5.25
0,running,336.20000000000005,59,22.29,336.20000000000005,1.484,0.0,113,492774180,-1146595558,1.484,487.0,48.9,47.0,684.0,27,2019-01-06 18:38:01,47.7,5.75
0,running,336.20000000000005,65,23.45,336.20000000000005,1.484,0.5,114,492774055,-1146595558,1.484,471.0,48.9,47.25,679.0,27,2019-01-06 18:38:02,45.7,5.75
0,running,336.20000000000005,61,24.6,336.20000000000005,1.437,0.0,115,492773933,-1146595536,1.437,481.0,48.9,50.0,870.0,27,2019-01-06 18:38:03,45.7,5.75
0,running,336.20000000000005,59,25.91,336.20000000000005,1.428,0.5,116,492773798,-1146595482,1.428,490.0,48.9,47.5,737.0,27,2019-01-06 18:38:04,47.7,6.25
0,running,336.0,58,34.0,336.0,1.418,0.5,113,492772938,-1146595297,1.418,509.0,48.81,50.0,828.0,27,2019-01-06 18:38:10,42.7,5.93
0,running,336.0,56,35.15,336.0,1.418,0.0,113,492772824,-1146595228,1.418,521.0,48.81,48.5,828.0,27,2019-01-06 18:38:11,45.7,5.93
0,running,336.0,60,36.1,336.0,1.418,0.0,115,492772737,-1146595154,1.418,505.0,48.9,47.75,730.0,27,2019-01-06 18:38:12,44.7,5.65
0,running,336.0,63,37.1,336.0,1.39,0.5,115,492772631,-1146595142,1.39,508.0,48.75,47.25,720.0,27,2019-01-06 18:38:13,42.7,5.56
0,running,335.79999999999995,93,47.43,335.79999999999995,1.278,0.0,114,492771504,-1146594977,1.278,443.0,48.81,49.0,432.0,27,2019-01-06 18:38:21,31.2,5.34
0,running,335.6,75,48.74,335.6,1.157,0.5,115,492771364,-1146594987,1.157,429.0,48.81,48.0,714.0,27,2019-01-06 18:38:22,27.2,5.06
0,running,335.4,61,50.26,335.4,1.157,0.0,116,492771199,-1146594993,1.157,446.0,49.25,45.5,635.0,27,2019-01-06 18:38:23,35.0,5.46
0,running,335.4,55,57.09,335.4,1.39,0.0,118,492770466,-1146594906,1.39,440.0,50.65,50.0,634.0,27,2019-01-06 18:38:28,49.7,5.65
0,running,335.79999999999995,74,85.8,335.79999999999995,0.989,0.5,117,492767446,-1146595594,0.989,367.0,50.56,50.0,569.0,27,2019-01-06 18:38:52,32.0,5.65
0,running,335.6,74,86.55,335.6,0.933,0.5,118,492767391,-1146595683,0.933,367.0,50.87,50.0,326.0,27,2019-01-06 18:38:53,32.0,5.65
