,Cadence,Ground Time,Power,Vertical Oscillation,activity_type,altitude,cadence,distance,enhanced_altitude,enhanced_speed,fractional_cadence,heart_rate,position_lat,position_long,speed,stance_time,stance_time_balance,stance_time_percent,step_length,temperature,timestamp,vertical_oscillation,vertical_ratio
0,0,0,0,0.0,running,343.0,0,1.34,343.0,2.034,0.0,114,492376081,-1145963694,2.034,0.0,49.31,0.0,889.0,30,2019-01-03 22:22:35,0.0,7.21
0,0,0,0,0.0,running,342.20000000000005,43,2.03,342.20000000000005,1.736,0.5,115,492376113,-1145963586,1.736,562.0,0.0,46.25,0.0,30,2019-01-03 22:22:36,196.2,0.0
0,0,0,0,0.0,running,341.79999999999995,48,2.84,341.79999999999995,1.185,0.0,115,492376127,-1145963467,1.185,527.0,50.68,44.5,1194.0,30,2019-01-03 22:22:37,159.0,16.4
0,0,0,0,0.0,running,341.6,58,3.67,341.6,1.036,0.5,114,492376119,-1145963342,1.036,464.0,50.5,50.0,1194.0,30,2019-01-03 22:22:38,94.5,16.4
0,0,0,0,0.0,running,341.79999999999995,62,4.93,341.79999999999995,1.036,0.0,115,492376168,-1145963175,1.036,476.0,50.25,50.0,470.0,30,2019-01-03 22:22:39,68.2,16.68
0,0,0,0,0.0,running,341.6,61,5.8,341.6,1.194,0.5,116,492376206,-1145963062,1.194,478.0,49.93,48.0,464.0,30,2019-01-03 22:22:40,74.0,16.28
0,0,0,0,0.0,running,341.6,61,6.97,341.6,1.194,0.5,116,492376284,-1145962930,1.194,480.0,49.62,48.0,590.0,30,2019-01-03 22:22:41,70.2,15.21
0,0,0,0,0.0,running,341.6,61,8.08,341.6,1.194,0.5,114,492376350,-1145962797,1.194,480.0,49.28,50.0,621.0,30,2019-01-03 22:22:42,69.2,12.78
0,0,0,0,0.0,running,341.6,61,9.3,341.6,1.101,0.5,113,492376414,-1145962639,1.101,482.0,49.18,48.5,626.0,30,2019-01-03 22:22:43,67.2,12.28
0,0,0,0,0.0,running,341.6,61,10.65,341.6,1.101,0.5,112,492376487,-1145962465,1.101,480.0,49.18,50.0,607.0,30,2019-01-03 22:22:44,67.2,12.28
0,0,0,0,0.0,running,341.6,61,12.05,341.6,1.129,0.5,114,492376547,-1145962274,1.129,478.0,49.18,48.25,508.0,30,2019-01-03 22:22:45,66.2,12.28
0,0,0,0,0.0,running,341.6,61,13.47,341.6,1.222,0.5,114,492376606,-1145962083,1.222,477.0,49.31,48.25,535.0,30,2019-01-03 22:22:46,66.2,12.18
0,0,0,0,0.0,running,342.79999999999995,59,50.75,342.79999999999995,1.512,0.5,115,492377376,-1145956852,1.512,499.0,49.65,49.25,810.0,30,2019-01-03 22:23:06,83.0,8.28
0,0,0,0,0.0,running,342.6,59,52.06,342.6,1.53,0.5,114,492377360,-1145956667,1.53,500.0,49.65,49.0,808.0,30,2019-01-03 22:23:07,76.0,8.59
0,0,0,0,0.0,running,342.6,59,53.83,342.6,1.53,0.0,114,492377305,-1145956411,1.53,500.0,49.75,49.0,801.0,30,2019-01-03 22:23:08,74.0,8.46
0,0,0,0,0.0,running,342.4,59,55.56,342.4,1.521,0.0,114,492377321,-1145956166,1.521,498.0,49.75,49.0,800.0,30,2019-01-03 22:23:09,69.2,8.37
0,0,0,0,0.0,running,342.6,57,67.42,342.6,1.204,0.5,109,492377417,-1145954549,1.204,525.0,49.75,50.0,922.0,30,2019-01-03 22:23:20,40.0,6.9
