,altitude,cadence,distance,enhanced_altitude,enhanced_speed,fractional_cadence,heart_rate,position_lat,position_long,speed,temperature,timestamp
0,349.20000000000005,0,0.0,349.20000000000005,0.0,0.0,129,,,0.0,29,2019-01-24 13:33:14
0,349.6,0,0.0,349.6,0.0,0.0,129,,,0.0,29,2019-01-24 13:33:15
0,350.4,0,0.0,350.4,0.0,0.0,123,,,0.0,29,2019-01-24 13:33:17
0,350.4,0,0.0,350.4,0.0,0.0,120,,,0.0,29,2019-01-24 13:33:18
0,350.79999999999995,0,0.0,350.79999999999995,0.0,0.0,120,,,0.0,29,2019-01-24 13:33:19
0,350.6,54,9.32,350.6,1.325,0.5,123,,,1.325,29,2019-01-24 13:33:33
0,350.4,55,21.18,350.4,1.316,0.0,126,,,1.316,29,2019-01-24 13:33:42
0,350.4,54,30.34,350.4,1.306,0.0,129,,,1.306,29,2019-01-24 13:33:49
0,350.6,54,38.1,350.6,1.288,0.0,126,,,1.288,29,2019-01-24 13:33:55
0,350.4,53,47.07,350.4,1.278,0.0,122,,,1.278,29,2019-01-24 13:34:02
0,350.4,53,48.35,350.4,1.278,0.0,119,,,1.278,29,2019-01-24 13:34:03
0,349.79999999999995,58,69.2,349.79999999999995,1.372,0.5,118,,,1.372,30,2019-01-24 13:34:19
0,349.4,58,77.51,349.4,1.39,0.5,120,,,1.39,30,2019-01-24 13:34:25
0,350.0,55,98.23,350.0,1.372,0.0,123,,,1.372,30,2019-01-24 13:34:40
0,350.4,55,107.76,350.4,1.353,0.0,123,,,1.353,30,2019-01-24 13:34:47
0,350.4,58,126.48,350.4,1.325,0.5,127,,,1.325,30,2019-01-24 13:35:01
0,350.6,57,146.74,350.6,1.362,0.5,128,,,1.362,30,2019-01-24 13:35:16
0,350.6,55,149.45,350.6,1.353,0.5,123,,,1.353,30,2019-01-24 13:35:18
0,350.6,55,150.81,350.6,1.353,0.0,123,,,1.353,30,2019-01-24 13:35:19
0,349.79999999999995,58,170.86,349.79999999999995,1.353,0.5,121,,,1.353,30,2019-01-24 13:35:34
0,349.6,60,183.31,349.6,1.418,0.0,124,,,1.418,30,2019-01-24 13:35:43
0,349.79999999999995,60,197.89,349.79999999999995,1.484,0.5,120,,,1.484,30,2019-01-24 13:35:53
0,350.20000000000005,85,200.88,350.20000000000005,1.502,0.0,114,,,1.502,30,2019-01-24 13:35:55
0,350.6,85,202.55,350.6,1.67,0.0,115,,,1.67,30,2019-01-24 13:35:56
0,351.0,91,219.35,351.0,2.211,0.5,118,,,2.211,30,2019-01-24 13:36:04
0,350.79999999999995,96,223.85,350.79999999999995,2.249,0.0,124,,,2.249,30,2019-01-24 13:36:06
