,altitude,cadence,distance,enhanced_altitude,enhanced_speed,fractional_cadence,heart_rate,position_lat,position_long,speed,temperature,timestamp
0,326.6,0,0.0,326.6,0.0,0.0,82,,,0.0,28,2019-01-25 12:58:14
0,326.6,0,0.0,326.6,0.0,0.0,82,,,0.0,28,2019-01-25 12:58:15
0,325.79999999999995,58,1.35,325.79999999999995,1.353,0.5,83,,,1.353,28,2019-01-25 12:58:17
0,326.0,0,4.06,326.0,1.353,0.0,86,,,1.353,28,2019-01-25 12:58:19
0,326.0,0,10.82,326.0,1.353,0.0,90,,,1.353,28,2019-01-25 12:58:24
0,326.0,0,12.18,326.0,1.353,0.0,93,492374065,-1145964208,1.353,28,2019-01-25 12:58:28
0,326.0,58,13.53,326.0,1.353,0.5,97,492374310,-1145964488,1.353,28,2019-01-25 12:58:30
0,326.0,58,13.53,326.0,1.353,0.5,97,492374448,-1145964184,1.353,28,2019-01-25 12:58:31
0,325.79999999999995,59,20.7,325.79999999999995,1.53,0.0,100,492375707,-1145963614,1.53,28,2019-01-25 12:58:33
0,325.79999999999995,57,21.27,325.79999999999995,1.446,0.5,101,492375764,-1145963607,1.446,28,2019-01-25 12:58:35
0,325.6,56,22.09,325.6,1.362,0.5,104,492375840,-1145963530,1.362,28,2019-01-25 12:58:36
0,325.6,56,23.04,325.6,1.25,0.5,102,492375949,-1145963462,1.25,28,2019-01-25 12:58:37
0,325.6,56,23.97,325.6,1.148,0.5,102,492376050,-1145963434,1.148,28,2019-01-25 12:58:38
0,325.6,58,24.89,325.6,1.073,0.5,100,492376090,-1145963317,1.073,28,2019-01-25 12:58:40
0,325.4,0,25.27,325.4,0.998,0.0,97,492376079,-1145963239,0.998,28,2019-01-25 12:58:41
0,324.79999999999995,0,25.71,324.79999999999995,0.009,0.0,94,492376043,-1145963102,0.009,28,2019-01-25 12:58:43
0,324.4,0,26.67,324.4,0.177,0.0,93,492376060,-1145962961,0.177,28,2019-01-25 12:58:46
0,324.6,0,27.23,324.6,0.009,0.0,95,492376041,-1145962843,0.009,28,2019-01-25 12:58:48
0,324.0,58,34.97,324.0,1.736,0.5,96,492376811,-1145962475,1.736,28,2019-01-25 12:58:54
0,324.20000000000005,58,41.04,324.20000000000005,1.493,0.5,95,492377446,-1145962281,1.493,28,2019-01-25 12:58:58
0,324.4,58,43.16,324.4,1.39,0.5,93,492377646,-1145962137,1.39,28,2019-01-25 12:59:00
0,324.4,58,44.37,324.4,1.269,0.5,98,492377695,-1145961969,1.269,29,2019-01-25 12:59:01
0,324.4,55,52.58,324.4,1.26,0.0,97,492377663,-1145960807,1.26,29,2019-01-25 12:59:08
0,324.6,55,53.97,324.6,1.269,0.0,98,492377700,-1145960610,1.269,29,2019-01-25 12:59:09
0,325.0,58,65.76,325.0,1.288,0.5,97,492377735,-1145958936,1.288,29,2019-01-25 12:59:18
0,325.0,58,71.8,325.0,1.362,0.5,97,492377788,-1145958038,1.362,29,2019-01-25 12:59:21
0,325.20000000000005,58,77.03,325.20000000000005,1.428,0.5,97,492377781,-1145957283,1.428,29,2019-01-25 12:59:24
0,325.20000000000005,63,84.3,325.20000000000005,1.605,0.0,96,492377772,-1145956243,1.605,29,2019-01-25 12:59:28
0,325.20000000000005,61,99.28,325.20000000000005,1.708,0.5,97,492378511,-1145954427,1.708,28,2019-01-25 12:59:38
0,325.20000000000005,61,102.97,325.20000000000005,1.661,0.0,98,492378829,-1145954105,1.661,28,2019-01-25 12:59:40
0,325.20000000000005,61,104.64,325.20000000000005,1.68,0.0,98,492379002,-1145953948,1.68,28,2019-01-25 12:59:42
0,325.6,0,105.34,325.6,0.084,0.0,98,492378949,-1145953837,0.084,28,2019-01-25 12:59:45
