,activity_type,altitude,cadence,distance,enhanced_altitude,enhanced_speed,fractional_cadence,heart_rate,position_lat,position_long,speed,stance_time,stance_time_balance,stance_time_percent,step_length,temperature,timestamp,vertical_oscillation,vertical_ratio
0,running,337.20000000000005,0,0.0,337.20000000000005,0.0,0.0,68,,,0.0,0.0,0.0,0.0,0.0,26,2019-01-15 13:00:30,0.0,0.0
0,running,337.4,36,0.0,337.4,0.0,0.5,68,,,0.0,664.0,0.0,47.25,0.0,26,2019-01-15 13:00:31,61.5,0.0
0,running,336.6,61,0.0,336.6,0.0,0.5,71,,,0.0,481.0,42.9,43.0,0.0,27,2019-01-15 13:00:35,40.0,0.0
0,running,336.0,69,178.17,336.0,1.791,0.5,114,492377938,-1145950117,1.791,494.0,49.65,50.0,1249.0,27,2019-01-15 13:03:10,62.5,8.59
0,running,335.79999999999995,54,181.08,335.79999999999995,1.502,0.0,114,492377777,-1145949782,1.502,509.0,49.84,48.75,1016.0,27,2019-01-15 13:03:12,78.0,7.68
0,running,336.20000000000005,64,283.1,336.20000000000005,1.661,0.5,110,492377881,-1145935340,1.661,464.0,48.87,49.5,749.0,27,2019-01-15 13:04:13,49.7,6.71
0,running,336.20000000000005,63,286.58,336.20000000000005,1.67,0.0,113,492377870,-1145934842,1.67,471.0,48.78,49.25,787.0,27,2019-01-15 13:04:15,64.2,7.03
0,running,338.4,60,368.89,338.4,1.512,0.0,121,492377539,-1145923103,1.512,478.0,50.25,49.25,810.0,26,2019-01-15 13:05:10,45.7,6.03
0,running,338.79999999999995,58,373.83,338.79999999999995,1.4,0.5,121,492377559,-1145922407,1.4,488.0,50.34,48.0,686.0,26,2019-01-15 13:05:14,38.0,5.65
0,running,339.79999999999995,66,468.26,339.79999999999995,1.512,0.5,111,492377288,-1145909042,1.512,461.0,48.81,50.0,668.0,25,2019-01-15 13:06:15,35.0,5.25
0,running,338.6,80,480.53,338.6,1.474,0.0,109,492377127,-1145907298,1.474,399.0,48.15,50.0,533.0,25,2019-01-15 13:06:24,33.0,5.25
0,running,338.0,64,484.84,338.0,1.521,0.5,106,492377176,-1145906695,1.521,410.0,48.46,47.75,741.0,25,2019-01-15 13:06:27,52.5,7.12
0,running,336.4,75,496.49,336.4,1.652,0.0,105,492377181,-1145905040,1.652,400.0,48.9,49.0,653.0,25,2019-01-15 13:06:34,35.0,5.65
0,running,336.0,73,499.69,336.0,1.642,0.5,108,492377220,-1145904587,1.642,395.0,49.09,48.0,677.0,25,2019-01-15 13:06:36,45.7,6.03
0,running,334.20000000000005,75,511.65,334.20000000000005,1.428,0.5,106,492377260,-1145902894,1.428,403.0,50.0,49.0,502.0,25,2019-01-15 13:06:45,45.7,8.0
0,running,333.79999999999995,82,515.3,333.79999999999995,1.596,0.0,109,492377326,-1145902388,1.596,368.0,49.87,48.0,526.0,25,2019-01-15 13:06:47,56.5,8.59
0,running,333.20000000000005,83,518.55,333.20000000000005,1.642,0.5,111,492377440,-1145901945,1.642,337.0,50.0,45.75,527.0,25,2019-01-15 13:06:49,59.5,9.93
0,running,332.0,75,524.07,332.0,1.689,0.5,112,492377470,-1145901157,1.689,337.0,50.09,50.0,591.0,25,2019-01-15 13:06:52,40.0,7.81
0,running,331.4,75,531.09,331.4,1.745,0.5,115,492377550,-1145900162,1.745,367.0,50.71,46.25,678.0,25,2019-01-15 13:06:56,39.0,6.34
0,running,331.0,76,536.36,331.0,1.67,0.0,114,492377537,-1145899413,1.67,370.0,51.18,50.0,658.0,25,2019-01-15 13:06:59,38.0,5.84
0,running,329.4,62,549.81,329.4,1.614,0.0,104,492377463,-1145897489,1.614,442.0,49.62,48.25,806.0,25,2019-01-15 13:07:07,50.7,6.43
0,running,328.79999999999995,64,555.45,328.79999999999995,1.652,0.0,102,492377488,-1145896683,1.652,446.0,49.62,48.5,790.0,25,2019-01-15 13:07:10,45.7,5.84
0,running,328.79999999999995,90,557.54,328.79999999999995,1.67,0.0,102,492377519,-1145896388,1.67,390.0,49.62,48.25,604.0,25,2019-01-15 13:07:11,35.0,5.93
0,running,328.20000000000005,66,561.59,328.20000000000005,1.847,0.5,105,492377662,-1145895842,1.847,384.0,49.84,50.0,1086.0,25,2019-01-15 13:07:13,41.0,5.46
0,running,327.6,65,567.75,327.6,1.605,0.5,107,492377674,-1145894978,1.605,415.0,50.03,46.0,740.0,25,2019-01-15 13:07:17,46.7,5.93
0,running,327.20000000000005,64,573.26,327.20000000000005,1.652,0.5,104,492377673,-1145894198,1.652,421.0,49.78,50.0,790.0,25,2019-01-15 13:07:20,64.2,6.43
0,running,325.79999999999995,66,591.01,325.79999999999995,1.456,0.0,105,492377494,-1145891775,1.456,459.0,48.87,49.0,668.0,25,2019-01-15 13:07:32,43.7,6.12
0,running,323.79999999999995,78,615.34,323.79999999999995,1.558,0.0,99,492377589,-1145888342,1.558,416.0,47.75,48.25,590.0,24,2019-01-15 13:07:47,65.2,7.59
0,running,323.79999999999995,83,616.8,323.79999999999995,1.558,0.0,101,492377579,-1145888126,1.558,308.0,47.87,46.25,548.0,24,2019-01-15 13:07:48,69.2,9.84
0,running,323.6,83,618.49,323.6,1.558,0.5,105,492377589,-1145887882,1.558,313.0,47.96,45.25,553.0,24,2019-01-15 13:07:49,67.2,10.71
0,running,323.4,83,620.13,323.4,1.614,0.5,108,492377608,-1145887648,1.614,308.0,47.96,43.75,553.0,24,2019-01-15 13:07:50,67.2,10.71
