,activity_type,altitude,cadence,distance,enhanced_altitude,enhanced_speed,fractional_cadence,heart_rate,position_lat,position_long,speed,stance_time,stance_time_balance,stance_time_percent,step_length,temperature,timestamp,vertical_oscillation,vertical_ratio
0,running,320.6,63,0.0,320.6,0.0,0.5,124,,,0.0,502.0,49.87,49.0,536.0,27,2019-01-21 13:31:39,66.2,1.25
0,running,320.4,64,0.0,320.4,0.0,0.0,127,,,0.0,462.0,50.56,50.0,536.0,27,2019-01-21 13:31:41,72.2,1.25
0,running,320.20000000000005,62,0.0,320.20000000000005,0.0,0.0,130,,,0.0,469.0,50.65,50.0,536.0,27,2019-01-21 13:31:44,59.5,1.25
0,running,320.6,54,6.05,320.6,1.474,0.5,127,,,1.474,514.0,50.56,48.0,803.0,27,2019-01-21 13:31:49,61.5,5.46
0,running,321.4,58,143.35,321.4,1.838,0.5,136,492786799,-1146592021,1.838,514.0,50.43,50.0,849.0,26,2019-01-21 13:33:14,65.2,7.12
0,running,321.6,57,157.67,321.6,1.633,0.0,130,492786264,-1146594150,1.633,521.0,50.53,50.0,875.0,25,2019-01-21 13:33:24,68.2,7.4
0,running,322.0,57,163.45,322.0,1.596,0.5,135,492785867,-1146594907,1.596,512.0,50.53,49.25,854.0,25,2019-01-21 13:33:28,62.5,7.31
0,running,321.79999999999995,58,166.0,321.79999999999995,1.586,0.5,135,492785686,-1146595240,1.586,501.0,50.43,48.0,816.0,25,2019-01-21 13:33:30,55.5,7.03
0,running,321.4,59,171.86,321.4,1.558,0.5,129,492785077,-1146595447,1.558,500.0,50.31,48.5,772.0,25,2019-01-21 13:33:34,70.2,7.68
0,running,321.6,59,176.6,321.6,1.521,0.0,127,492784567,-1146595408,1.521,504.0,50.43,48.5,742.0,25,2019-01-21 13:33:36,67.2,8.18
0,running,322.0,64,185.81,322.0,1.316,0.5,131,492783526,-1146595313,1.316,474.0,50.21,50.0,644.0,25,2019-01-21 13:33:43,52.5,8.0
0,running,321.4,61,194.21,321.4,1.092,0.0,125,492782592,-1146595390,1.092,483.0,50.34,49.25,515.0,25,2019-01-21 13:33:49,68.2,12.0
