0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83
ant_device_number: None,ant_network: None,ant_transmission_type: None,battery_status: None,battery_voltage: None [V],cum_operating_time: None [s],device_index: 4,device_type: 0,garmin_product: 1620,hardware_version: None,manufacturer: garmin,serial_number: None,software_version: 3.3,source_type: local,timestamp: 2019-01-16 22:55:49,unknown_15: None,unknown_16: None,unknown_17: None,unknown_23: None,unknown_8: None,unknown_9: None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
unknown_0: 2,unknown_1: 2,unknown_14: None,unknown_2: 2,unknown_253: 916613749,unknown_3: 1,unknown_4: 3,unknown_5: 3,unknown_6: None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
altitude: 335.0 [m],cadence: 63 [rpm],distance: 7.24 [m],enhanced_altitude: 335.0 [m],enhanced_speed: 1.502 [m/s],fractional_cadence: 0.0 [rpm],heart_rate: 75 [bpm],position_lat: 492376045 [semicircles],position_long: -1145963213 [semicircles],speed: 1.502 [m/s],temperature: 30 [C],timestamp: 2019-01-16 22:55:49,unknown_87: 0,unknown_88: 100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
altitude: 335.0 [m],cadence: 63 [rpm],distance: 8.75 [m],enhanced_altitude: 335.0 [m],enhanced_speed: 1.512 [m/s],fractional_cadence: 0.0 [rpm],heart_rate: 76 [bpm],position_lat: 492376173 [semicircles],position_long: -1145963261 [semicircles],speed: 1.512 [m/s],temperature: 30 [C],timestamp: 2019-01-16 22:55:50,unknown_87: 0,unknown_88: 100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
unknown_0: 4,unknown_1: 4,unknown_14: None,unknown_2: 2,unknown_253: 916613751,unknown_3: 1,unknown_4: 3,unknown_5: 3,unknown_6: None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
altitude: 334.4 [m],cadence: 63 [rpm],distance: 9.7 [m],enhanced_altitude: 334.4 [m],enhanced_speed: 1.502 [m/s],fractional_cadence: 0.0 [rpm],heart_rate: 77 [bpm],position_lat: 492376361 [semicircles],position_long: -1145963316 [semicircles],speed: 1.502 [m/s],temperature: 31 [C],timestamp: 2019-01-16 22:55:52,unknown_87: 0,unknown_88: 100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
altitude: 334.0 [m],cadence: 0 [rpm],distance: 10.34 [m],enhanced_altitude: 334.0 [m],enhanced_speed: 1.39 [m/s],fractional_cadence: 0.0 [rpm],heart_rate: 80 [bpm],position_lat: 492376412 [semicircles],position_long: -1145963471 [semicircles],speed: 1.39 [m/s],temperature: 31 [C],timestamp: 2019-01-16 22:55:54,unknown_87: 0,unknown_88: 100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
altitude: 333.79999999999995 [m],cadence: 0 [rpm],distance: 10.34 [m],enhanced_altitude: 333.79999999999995 [m],enhanced_speed: 1.269 [m/s],fractional_cadence: 0.0 [rpm],heart_rate: 82 [bpm],position_lat: 492376438 [semicircles],position_long: -1145963493 [semicircles],speed: 1.269 [m/s],temperature: 31 [C],timestamp: 2019-01-16 22:55:55,unknown_87: 0,unknown_88: 100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
altitude: 333.79999999999995 [m],cadence: 0 [rpm],distance: 11.51 [m],enhanced_altitude: 333.79999999999995 [m],enhanced_speed: 1.12 [m/s],fractional_cadence: 0.0 [rpm],heart_rate: 84 [bpm],position_lat: 492376521 [semicircles],position_long: -1145963602 [semicircles],speed: 1.12 [m/s],temperature: 31 [C],timestamp: 2019-01-16 22:55:57,unknown_87: 0,unknown_88: 100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
altitude: 333.79999999999995 [m],cadence: 0 [rpm],distance: 12.7 [m],enhanced_altitude: 333.79999999999995 [m],enhanced_speed: 1.073 [m/s],fractional_cadence: 0.0 [rpm],heart_rate: 89 [bpm],position_lat: 492376648 [semicircles],position_long: -1145963667 [semicircles],speed: 1.073 [m/s],temperature: 31 [C],timestamp: 2019-01-16 22:55:58,unknown_87: 0,unknown_88: 100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
